mjd,mag,magerr
1,22.102710187002238,0.05
73,22.094510989511853,0.05
74,22.094361698140183,0.05
75,22.09419207665244,0.05
76,22.093982412903394,0.05
77,22.093723226479604,0.05
78,22.093569361760053,0.05
79,22.0934146455997,0.05
80,22.0932064610895,0.05
81,22.093006373204254,0.05
82,22.09270072970636,0.05
83,22.09232128149933,0.05
84,22.091854277733383,0.05
85,22.091170568076002,0.05
121,22.0852645154389,0.05
122,22.0848118153907,0.05
123,22.08445716243437,0.05
124,22.08417274712007,0.05
125,22.083997510307704,0.05
126,22.083920668428682,0.05
127,22.0838228202637,0.05
128,22.08376950579062,0.05
129,22.08377156684073,0.05
130,22.08380317729469,0.05
131,22.083849373290597,0.05
132,22.083849355981762,0.05
133,22.083875973543577,0.05
151,22.083884399359313,0.05
152,22.083589424832972,0.05
153,22.083325364540876,0.05
154,22.08319990641315,0.05
155,22.08314917090339,0.05
156,22.08307116829453,0.05
157,22.082905316077664,0.05
158,22.082752250640446,0.05
159,22.082605559577082,0.05
160,22.08254004958622,0.05
161,22.082554987213875,0.05
162,22.082596720664917,0.05
163,22.08267547046629,0.05
164,22.082812260479777,0.05
165,22.083016698340735,0.05
166,22.083218210388445,0.05
167,22.083210687294788,0.05
168,22.08300665092758,0.05
215,22.06317505164845,0.05
216,22.062869084967623,0.05
217,22.06261374199638,0.05
218,22.06243467746682,0.05
219,22.062379478149616,0.05
220,22.06244933869906,0.05
221,22.06247116505623,0.05
248,22.06650041861331,0.05
249,22.066504542383534,0.05
250,22.066574680735066,0.05
251,22.06675518743514,0.05
252,22.0670035768673,0.05
253,22.06730896264471,0.05
254,22.067610461832224,0.05
255,22.067900067233033,0.05
256,22.0681573016518,0.05
257,22.068333927556715,0.05
258,22.068464249724364,0.05
259,22.068617438425186,0.05
260,22.068764271700694,0.05
271,22.06905461504588,0.05
272,22.0690760416692,0.05
273,22.069118621962225,0.05
274,22.069198219450733,0.05
275,22.069110381863872,0.05
276,22.068797904182027,0.05
277,22.068504089908863,0.05
278,22.068305090856605,0.05
279,22.06812801746438,0.05
280,22.06790332982454,0.05
281,22.067654471845422,0.05
282,22.067418783236157,0.05
283,22.067271414063164,0.05
284,22.06732611422948,0.05
304,22.07354048599688,0.05
305,22.073616148669053,0.05
306,22.073624132821756,0.05
307,22.073691984529653,0.05
308,22.073773208461667,0.05
309,22.07383902342199,0.05
310,22.073943927202627,0.05
311,22.07409597891631,0.05
316,22.074385132329063,0.05
317,22.074543954057212,0.05
318,22.074790069066815,0.05
319,22.074963734561884,0.05
320,22.07508494269313,0.05
321,22.07521856413384,0.05
322,22.075396297372258,0.05
323,22.07552460024312,0.05
324,22.075592239243967,0.05
325,22.075587090640916,0.05
326,22.075596695724677,0.05
383,22.059387723599677,0.05
384,22.05909392890799,0.05
385,22.058886481328834,0.05
386,22.05878103059549,0.05
387,22.058774769696306,0.05
388,22.05868300862634,0.05
389,22.058483336653488,0.05
390,22.05825103237958,0.05
391,22.058032664656842,0.05
392,22.05778030183594,0.05
393,22.057538747549522,0.05
426,22.057741315389784,0.05
427,22.057675606047702,0.05
428,22.05766057224742,0.05
429,22.05765482178061,0.05
430,22.0576708055683,0.05
431,22.05768207192346,0.05
432,22.057661506399704,0.05
433,22.057606681619028,0.05
434,22.05751117912674,0.05
435,22.05752571572912,0.05
436,22.057571641528973,0.05
437,22.057560424642297,0.05
438,22.05748350919078,0.05
439,22.057411049997476,0.05
440,22.05729862551437,0.05
441,22.057243770365424,0.05
442,22.057283324479947,0.05
443,22.057388735840256,0.05
444,22.057598941765,0.05
445,22.0578873564665,0.05
448,22.05853908419359,0.05
449,22.058771688830966,0.05
450,22.058965139800144,0.05
451,22.05909034393259,0.05
452,22.059224332544538,0.05
453,22.059335750715682,0.05
454,22.05938810975919,0.05
455,22.05950737255221,0.05
475,22.062822518010357,0.05
476,22.06312299141633,0.05
477,22.0634872397221,0.05
478,22.063802302580235,0.05
479,22.06394138220275,0.05
480,22.06408851639221,0.05
481,22.064226265970184,0.05
482,22.06446435574255,0.05
503,22.06387841140147,0.05
504,22.063785699596657,0.05
505,22.063786638140336,0.05
506,22.063793375740026,0.05
507,22.06366837604019,0.05
508,22.063494355818243,0.05
509,22.063295453402127,0.05
510,22.063102906298518,0.05
511,22.062956718394382,0.05
657,22.055897398403495,0.05
658,22.055872413995296,0.05
659,22.05567284276878,0.05
660,22.055370579517692,0.05
661,22.055032861368836,0.05
662,22.054732464320956,0.05
663,22.05456333583428,0.05
664,22.054468961065503,0.05
665,22.05441104291925,0.05
666,22.054416582112005,0.05
667,22.05442372735964,0.05
668,22.054383567894256,0.05
669,22.054300263954595,0.05
670,22.05407934941369,0.05
705,22.05907506417764,0.05
706,22.058677985149494,0.05
707,22.058375769869137,0.05
708,22.0582741278236,0.05
709,22.058314227721446,0.05
710,22.058285012129353,0.05
711,22.058324219561733,0.05
712,22.058459327149727,0.05
713,22.058589179099705,0.05
714,22.058702528290503,0.05
715,22.05872559081738,0.05
716,22.058691698882335,0.05
